验证平台-ID方案E整机参数配置,,,,,,,,,,,,,,,,,,,
"3个高性能芯片

1个RK3576
1个S100Pro
1个AT32F457VET7




","6个高性能电机

1个屏幕俯仰电机
1个药盒开闭电机
1个机身俯仰推杆电机
1个机身升降推杆电机
2个底盘轮毂电机


","18个高性能感知硬件

4个200万像素全局快门彩色双目深度环视相机
4个500万像素超广角短焦环视相机
1个800万像素长焦相机
4个超广角固态激光雷达
1个高精度小面阵ToF传感器
2个超声波雷达
2个高精度惯性定位单元","4个高性能交互硬件

1个800万像素广角相机
1个环形6麦克风阵列
1个环形8麦克风阵列
1个2K超高清显示屏



",,,,,,,,,,,,,,,,
机械尺寸,整机尺寸,1139*500*600 mm,,,,,,,,,,,,,,,,,
,整机尺寸（升起）,1209*500*600 mm,,,,,,,,,,,,,,,,,
,整机尺寸（不含屏幕）,1082*500*600 mm,,,,,,,,,,,,,,,,,
,整机尺寸（不含屏幕、升起）,1152*500*600 mm,,,,,,,,,,,,,,,,,
,整机重量（含电池）,70kg,,,,,,,,,,,,,,,,,
,整机自由度,5,,,,,,,,,,,,,,,,,
,整机升降速度,35mm/s,,,,,,,,,,,,,,,,,
,整机俯仰角度范围,(-5°，5°),,,,,,,,,,,,,,,,,
,整机俯仰调节速度,10°/s,,,,,,,,,,,,,,,,,
,屏幕俯仰角度范围,(-7°，28°),,,,,,,,,,,,,,,,,
,屏幕俯仰调节速度,35°/s,,,,,,,,,,,,,,,,,
,药盒弹出范围,110mm,,,,,,,,,,,,,,,,,
,药盒弹出速度,120mm/s,,,,,,,,,,,,,,,,,
,散热系统,被动散热,,,,,,,,,,,,,,,,,
底盘参数,底盘驱动形式,双轮差速，支持原地360°旋转,,,,,,,,,,,,,,,,,
,底盘移动速度,1.4m/s,,,,,,,,,,,,,,,,,
,底盘越障能力,25mm,,,,,,,,,,,,,,,,,
,底盘越沟能力,40mm,,,,,,,,,,,,,,,,,
,爬坡能力,10°,,,,,,,,,,,,,,,,,
,底盘传感器,固态激光雷达*4，超广角相机*4，超声波*2，IMU*1,,,,,,,,,,,,,,,,,
电气特性,供电方式,18650锂电池,,,,,,,,,,,,,,,,,
,电池容量,典型容量18.5Ah（466.2Wh）,,,,,,,,,,,,,,,,,
,电池电压,额定25.2V（充电电压29.4V，截止电压19.6V）,,,,,,,,,,,,,,,,,
,算力配置,交互：RK3576,,,,,,,,,,,,,,,,,
,感知传感器,环视深度相机*4，长焦相机*1，广角相机*1，ToF*1，IMU*1,,,,,,,,,,,,,,,,,
,交互传感器,6麦克风阵列*1，8麦克风阵列*1,,,,,,,,,,,,,,,,,
,显示屏,12.3寸，分辨率2464*1600，带触控,,,,,,,,,,,,,,,,,
,传输配置,Wifi6，蓝牙5.1,,,,,,,,,,,,,,,,,
验证平台-ID方案E传感器参数配置,,,,,,,,,,,,,,,,,,,
传感器,功能,详细参数,装配位置图示,,,,,,,,,,,,,,,,
6麦克风阵列,拾音，语音交互，为避免其他零部件对麦克风的遮挡，使用2个麦克风阵列,阵列半径：39.6mm,,,,,,,,,,,,,,,,,
8麦克风阵列,,阵列半径：141mm,,,,,,,,,,,,,,,,,
广角相机,在0.5-2米范围清晰识别出身高1-1.8米的人脸、手势、姿态，能在0.5米以内看清0.75米高的桌面的文件并完成 OCR 识别,"分辨率：8MP（4208*3120）
视场角：HFOV73.5°，VFOV58.7°
焦距：f = 3.08mm（EFL）
对焦距离：0.34m
景深范围：28.4-42.3mm
畸变：≤1%",,,,,,,,,,,,,,,,,
环视相机,4环视组合形成360度全向视野，减少观测死角,"RGB参数：
分辨率：1MP（1280*800）
视场角：HFOV90°，VFOV65°
焦距：f = 3.08mm（EFL）
快门形式：全局快门
输出帧率：30fps@1280*800
深度参数：
分辨率：1MP（1280*720）
基线距离：95mm
视场角：HFOV87°，VFOV58°（双目）
视场角：HFOV90°，VFOV65°（红外）
快门形式：全局快门
深度精度：2%@4m
输出帧率：30fps@1280*720；90fps@640*480",,,,,,,,,,,,,,,,,
,前向，在1-3米范围看到身高1-1.8米的人，在0.5-1米范围看清0.75米高度的桌面物体,,,,,,,,,,,,,,,,,,
,右向，在1-3米范围看到身高1-1.8米的人，在0.5-1米范围看清0.75米高度的桌面物体,,,,,,,,,,,,,,,,,,
,后向，在1-3米范围看到身高1-1.8米的人，在0.5-1米范围看清0.75米高度的桌面物体,,,,,,,,,,,,,,,,,,
,左向，在1-3米范围看到身高1-1.8米的人，在0.5-1米范围看清0.75米高度的桌面物体,,,,,,,,,,,,,,,,,,
